B0A0,1
A1A0,1
B1A1,1
A0A1,1
A2A1,1
B2A2,1
A1A2,1
A3A2,1
B3A3,1
A2A3,1
A4A3,1
B4A4,1
A3A4,1
A0B0,1
C0B0,1
B1B0,1
A1B1,1
C1B1,1
B0B1,1
B2B1,1
A2B2,1
C2B2,1
B1B2,1
B3B2,1
A3B3,1
C3B3,1
B2B3,1
B4B3,1
A4B4,1
C4B4,1
B3B4,1
B0C0,1
D0C0,1
C1C0,1
B1C1,1
D1C1,1
C0C1,1
C2C1,1
B2C2,1
D2C2,1
C1C2,1
C3C2,1
B3C3,1
D3C3,1
C2C3,1
C4C3,1
B4C4,1
D4C4,1
C3C4,1
C0D0,1
E0D0,1
D1D0,1
C1D1,1
E1D1,1
D0D1,1
D2D1,1
C2D2,1
E2D2,1
D1D2,1
D3D2,1
C3D3,1
E3D3,1
D2D3,1
D4D3,1
C4D4,1
E4D4,1
D3D4,1
D0E0,1
E1E0,1
D1E1,1
E0E1,1
E2E1,1
D2E2,1
E1E2,1
E3E2,1
D3E3,1
E2E3,1
E4E3,1
D4E4,1
E3E4,1
